"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49416","151.143.78.74","49154",,"151.143.61.23","49416",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49441","151.143.78.74","135",,"151.143.61.23","49441",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49442","151.143.78.74","49154",,"151.143.61.23","49442",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49485","151.143.78.74","135",,"151.143.61.23","49485",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49486","151.143.78.74","49154",,"151.143.61.23","49486",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49510","151.143.78.74","135",,"151.143.61.23","49510",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49511","151.143.78.74","49154",,"151.143.61.23","49511",
"TCP","System","4","SYN_SENT","151.143.78.74:54599","172.16.8.43:445","151.143.78.74","54599",,"172.16.8.43","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54600","172.16.8.43:139","151.143.78.74","54600",,"172.16.8.43","139",
"TCP","System","4","SYN_SENT","151.143.78.74:54608","172.16.8.37:445","151.143.78.74","54608",,"172.16.8.37","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54609","172.16.8.37:139","151.143.78.74","54609",,"172.16.8.37","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49528","151.143.78.74","135",,"151.143.61.23","49528",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49529","151.143.78.74","49154",,"151.143.61.23","49529",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49554","151.143.78.74","135",,"151.143.61.23","49554",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49555","151.143.78.74","49154",,"151.143.61.23","49555",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49582","151.143.78.74","135",,"151.143.61.23","49582",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49583","151.143.78.74","49154",,"151.143.61.23","49583",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49598","151.143.78.74","135",,"151.143.61.23","49598",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49599","151.143.78.74","49154",,"151.143.61.23","49599",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49623","151.143.78.74","135",,"151.143.61.23","49623",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49624","151.143.78.74","49154",,"151.143.61.23","49624",
"TCP","System","4","SYN_SENT","151.143.78.74:54611","172.16.8.42:445","151.143.78.74","54611",,"172.16.8.42","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54612","172.16.8.42:139","151.143.78.74","54612",,"172.16.8.42","139",
"TCP","System","4","SYN_SENT","151.143.78.74:54618","172.16.8.44:139","151.143.78.74","54618",,"172.16.8.44","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49639","151.143.78.74","135",,"151.143.61.23","49639",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49640","151.143.78.74","49154",,"151.143.61.23","49640",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49685","151.143.78.74","135",,"151.143.61.23","49685",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49686","151.143.78.74","49154",,"151.143.61.23","49686",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49713","151.143.78.74","135",,"151.143.61.23","49713",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49714","151.143.78.74","49154",,"151.143.61.23","49714",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49739","151.143.78.74","135",,"151.143.61.23","49739",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49740","151.143.78.74","49154",,"151.143.61.23","49740",
"TCP","System","4","SYN_SENT","151.143.78.74:54630","172.16.8.43:445","151.143.78.74","54630",,"172.16.8.43","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54631","172.16.8.43:139","151.143.78.74","54631",,"172.16.8.43","139",
"TCP","System","4","SYN_SENT","151.143.78.74:54639","172.16.8.37:445","151.143.78.74","54639",,"172.16.8.37","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54640","172.16.8.37:139","151.143.78.74","54640",,"172.16.8.37","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49782","151.143.78.74","135",,"151.143.61.23","49782",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49783","151.143.78.74","49154",,"151.143.61.23","49783",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49807","151.143.78.74","135",,"151.143.61.23","49807",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49808","151.143.78.74","49154",,"151.143.61.23","49808",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49837","151.143.78.74","135",,"151.143.61.23","49837",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49838","151.143.78.74","49154",,"151.143.61.23","49838",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49853","151.143.78.74","135",,"151.143.61.23","49853",
