"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10178","151.143.101.9:1025","151.143.3.139","10178",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10175","151.143.101.7:135","151.143.3.139","10175",,"151.143.101.7","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10176","151.143.101.7:49155","151.143.3.139","10176",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10177","151.143.101.9:135","151.143.3.139","10177",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10178","151.143.101.9:1025","151.143.3.139","10178",,"151.143.101.9","1025",
"TCP","System","4","ESTABLISHED","151.143.3.139:10179","151.143.101.7:445","151.143.3.139","10179",,"151.143.101.7","445",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10180","151.143.101.9:135","151.143.3.139","10180",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10181","151.143.101.9:1025","151.143.3.139","10181",,"151.143.101.9","1025",
"UDP","lsass.exe","724","*","0.0.0.0:57307","*:*","0.0.0.0","57307",,"*","*",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10182","151.143.101.7:135","151.143.3.139","10182",,"151.143.101.7","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10183","151.143.101.7:49155","151.143.3.139","10183",,"151.143.101.7","49155",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10184","151.143.101.13:135","151.143.3.139","10184",,"151.143.101.13","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10185","151.143.101.13:1025","151.143.3.139","10185",,"151.143.101.13","1025",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10186","151.143.101.13:1025","151.143.3.139","10186",,"151.143.101.13","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10187","151.143.101.13:389","151.143.3.139","10187",,"151.143.101.13","389",
"TCP","System","4","ESTABLISHED","151.143.3.139:10190","151.143.101.7:445","151.143.3.139","10190",,"151.143.101.7","445",
"TCP","System","4","ESTABLISHED","151.143.3.139:10191","151.143.101.11:445","151.143.3.139","10191",,"151.143.101.11","445",
"TCP","System","4","ESTABLISHED","151.143.3.139:10192","151.143.101.13:445","151.143.3.139","10192",,"151.143.101.13","445",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10180","151.143.101.9:135","151.143.3.139","10180",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10181","151.143.101.9:1025","151.143.3.139","10181",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10182","151.143.101.7:135","151.143.3.139","10182",,"151.143.101.7","135",
